"CubeId";"plkoprinfla"
"PublishingDate";"2025-10-21 09:00"

"Date";"D0";"Value"
"2000-01";"TLK";"1.6"
"2000-02";"TLK";"1.6"
"2000-03";"TLK";"1.5"
"2000-04";"TLK";"1.4"
"2000-05";"TLK";"1.6"
"2000-06";"TLK";"1.8"
"2000-07";"TLK";"1.9"
"2000-08";"TLK";"1.1"
"2000-09";"TLK";"1.4"
"2000-10";"TLK";"1.3"
"2000-11";"TLK";"1.9"
"2000-12";"TLK";"1.5"
"2001-01";"TLK";"1.3"
"2001-02";"TLK";"0.8"
"2001-03";"TLK";"1"
"2001-04";"TLK";"1.2"
"2001-05";"TLK";"1.8"
"2001-06";"TLK";"1.6"
"2001-07";"TLK";"1.4"
"2001-08";"TLK";"1.1"
"2001-09";"TLK";"0.7"
"2001-10";"TLK";"0.6"
"2001-11";"TLK";"0.3"
"2001-12";"TLK";"0.3"
"2002-01";"TLK";"0.5"
"2002-02";"TLK";"0.7"
"2002-03";"TLK";"0.5"
"2002-04";"TLK";"1.1"
"2002-05";"TLK";"0.6"
"2002-06";"TLK";"0.3"
"2002-07";"TLK";"-0.1"
"2002-08";"TLK";"0.5"
"2002-09";"TLK";"0.5"
"2002-10";"TLK";"1.2"
"2002-11";"TLK";"0.9"
"2002-12";"TLK";"0.9"
"2003-01";"TLK";"0.8"
"2003-02";"TLK";"0.9"
"2003-03";"TLK";"1.3"
"2003-04";"TLK";"0.7"
"2003-05";"TLK";"0.4"
"2003-06";"TLK";"0.5"
"2003-07";"TLK";"0.3"
"2003-08";"TLK";"0.5"
"2003-09";"TLK";"0.5"
"2003-10";"TLK";"0.5"
"2003-11";"TLK";"0.5"
"2003-12";"TLK";"0.6"
"2004-01";"TLK";"0.2"
"2004-02";"TLK";"0.1"
"2004-03";"TLK";"-0.1"
"2004-04";"TLK";"0.5"
"2004-05";"TLK";"0.9"
"2004-06";"TLK";"1.1"
"2004-07";"TLK";"0.9"
"2004-08";"TLK";"1"
"2004-09";"TLK";"0.9"
"2004-10";"TLK";"1.3"
"2004-11";"TLK";"1.5"
"2004-12";"TLK";"1.3"
"2005-01";"TLK";"1.2"
"2005-02";"TLK";"1.4"
"2005-03";"TLK";"1.4"
"2005-04";"TLK";"1.4"
"2005-05";"TLK";"1.1"
"2005-06";"TLK";"0.7"
"2005-07";"TLK";"1.2"
"2005-08";"TLK";"1"
"2005-09";"TLK";"1.4"
"2005-10";"TLK";"1.3"
"2005-11";"TLK";"1"
"2005-12";"TLK";"1"
"2006-01";"TLK";"1.3"
"2006-02";"TLK";"1.4"
"2006-03";"TLK";"1"
"2006-04";"TLK";"1.1"
"2006-05";"TLK";"1.4"
"2006-06";"TLK";"1.6"
