Date,CHF_EUR
2000-10-31,1.5133
2000-11-30,1.5213
2000-12-31,1.5135
2001-01-31,1.5291
2001-02-28,1.5355
2001-03-31,1.5357
2001-04-30,1.5287
2001-05-31,1.5337
2001-06-30,1.5225
2001-07-31,1.5134
2001-08-31,1.5144
2001-09-30,1.4919
2001-10-31,1.4796
2001-11-30,1.4665
2001-12-31,1.4743
2002-01-31,1.4738
2002-02-28,1.4774
2002-03-31,1.468
2002-04-30,1.466
2002-05-31,1.4567
2002-06-30,1.4716
2002-07-31,1.4626
2002-08-31,1.4639
2002-09-30,1.4651
2002-10-31,1.4649
2002-11-30,1.4673
2002-12-31,1.468
2003-01-31,1.4623
2003-02-28,1.4672
2003-03-31,1.469
2003-04-30,1.4954
2003-05-31,1.5148
2003-06-30,1.5399
2003-07-31,1.5471
2003-08-31,1.5404
2003-09-30,1.5469
2003-10-31,1.5481
2003-11-30,1.5587
2003-12-31,1.5549
2004-01-31,1.5661
2004-02-29,1.5731
2004-03-31,1.5666
2004-04-30,1.5547
2004-05-31,1.5408
2004-06-30,1.5187
2004-07-31,1.5268
2004-08-31,1.5381
2004-09-30,1.5431
2004-10-31,1.5427
2004-11-30,1.5221
2004-12-31,1.5359
2005-01-31,1.5467
2005-02-28,1.5499
2005-03-31,1.5489
2005-04-30,1.5471
2005-05-31,1.5448
2005-06-30,1.5382
2005-07-31,1.5581
2005-08-31,1.5526
2005-09-30,1.5491
2005-10-31,1.5489
2005-11-30,1.5452
2005-12-31,1.5478
2006-01-31,1.5491
2006-02-28,1.5578
2006-03-31,1.5688
2006-04-30,1.5749
2006-05-31,1.5565
2006-06-30,1.56
2006-07-31,1.5686
2006-08-31,1.5775
2006-09-30,1.5837
2006-10-31,1.5897
2006-11-30,1.5922
2006-12-31,1.5966
2007-01-31,1.6157
2007-02-28,1.6213
2007-03-31,1.6126
2007-04-30,1.6374
2007-05-31,1.65
2007-06-30,1.6542
2007-07-31,1.6567
2007-08-31,1.6377
2007-09-30,1.6475
2007-10-31,1.6704
2007-11-30,1.6485
2007-12-31,1.6586
2008-01-31,1.6189
2008-02-29,1.6087
2008-03-31,1.5711
2008-04-30,1.5954
2008-05-31,1.6245
2008-06-30,1.6138
2008-07-31,1.6186
2008-08-31,1.6204
2008-09-30,1.5945
2008-10-31,1.5202
2008-11-30,1.5152
2008-12-31,1.5397
2009-01-31,1.494
2009-02-28,1.4905
2009-03-31,1.5068
2009-04-30,1.5151
2009-05-31,1.5118
2009-06-30,1.5145
2009-07-31,1.5202
2009-08-31,1.524
2009-09-30,1.5148
2009-10-31,1.514
2009-11-30,1.5104
2009-12-31,1.5025
2010-01-31,1.4767
2010-02-28,1.4673
2010-03-31,1.4484
2010-04-30,1.4339
2010-05-31,1.4199
2010-06-30,1.3774
2010-07-31,1.3471
2010-08-31,1.3428
2010-09-30,1.3085
2010-10-31,1.3461
2010-11-30,1.3445
2010-12-31,1.2806
2011-01-31,1.2779
2011-02-28,1.2966
2011-03-31,1.2879
2011-04-30,1.2978
2011-05-31,1.254
2011-06-30,1.2093
2011-07-31,1.1778
2011-08-31,1.1205
2011-09-30,1.201
2011-10-31,1.2298
2011-11-30,1.2315
