"CubeId";"amarbma"
"PublishingDate";"2025-10-21 10:35"

"Date";"D0";"Value"
"2000-10";"T1";"1.59496305"
"2000-11";"T1";"1.66509247"
"2000-12";"T1";"1.76651158"
"2001-01";"T1";"1.83164986"
"2001-02";"T1";"1.76757568"
"2001-03";"T1";"1.66266024"
"2001-04";"T1";"1.59696457"
"2001-05";"T1";"1.54793985"
"2001-06";"T1";"1.49926982"
"2001-07";"T1";"1.52435224"
"2001-08";"T1";"1.5474838"
"2001-09";"T1";"1.57512513"
"2001-10";"T1";"1.73038276"
"2001-11";"T1";"1.96689222"
"2001-12";"T1";"2.17956072"
"2002-01";"T1";"2.37431682"
"2002-02";"T1";"2.39352134"
"2002-03";"T1";"2.34029087"
"2002-04";"T1";"2.3315247"
"2002-05";"T1";"2.30378202"
"2002-06";"T1";"2.29808147"
"2002-07";"T1";"2.35490962"
"2002-08";"T1";"2.44140595"
"2002-09";"T1";"2.58143678"
"2002-10";"T1";"2.7919264"
"2002-11";"T1";"3.05617853"
"2002-12";"T1";"3.28881162"
"2003-01";"T1";"3.52025393"
"2003-02";"T1";"3.59826278"
"2003-03";"T1";"3.59281558"
"2003-04";"T1";"3.5881538"
"2003-05";"T1";"3.56243799"
"2003-06";"T1";"3.55929635"
"2003-07";"T1";"3.59005399"
"2003-08";"T1";"3.64004147"
"2003-09";"T1";"3.71645417"
"2003-10";"T1";"3.83226399"
"2003-11";"T1";"3.9675317"
"2003-12";"T1";"4.12555093"
"2004-01";"T1";"4.26053994"
"2004-02";"T1";"4.2052066"
"2004-03";"T1";"4.07523408"
"2004-04";"T1";"3.92859061"
"2004-05";"T1";"3.7703687"
"2004-06";"T1";"3.65096119"
"2004-07";"T1";"3.6261828"
"2004-08";"T1";"3.6970723"
"2004-09";"T1";"3.70766265"
"2004-10";"T1";"3.74743982"
"2004-11";"T1";"3.86140014"
"2004-12";"T1";"4.01359214"
"2005-01";"T1";"4.1052063"
"2005-02";"T1";"4.06515044"
"2005-03";"T1";"3.94429879"
"2005-04";"T1";"3.81736656"
"2005-05";"T1";"3.68306162"
"2005-06";"T1";"3.56375545"
"2005-07";"T1";"3.5445256"
"2005-08";"T1";"3.6067756"
"2005-09";"T1";"3.6161245"
"2005-10";"T1";"3.65002376"
"2005-11";"T1";"3.71832901"
"2005-12";"T1";"3.84505856"
"2006-01";"T1";"3.90687785"
"2006-02";"T1";"3.8028745"
"2006-03";"T1";"3.62932444"
"2006-04";"T1";"3.45478628"
"2006-05";"T1";"3.28062817"
"2006-06";"T1";"3.1121706"
"2006-07";"T1";"3.08399722"
"2006-08";"T1";"3.11817518"
"2006-09";"T1";"3.08782292"
"2006-10";"T1";"3.11034642"
"2006-11";"T1";"3.14500576"
"2006-12";"T1";"3.25767395"
"2007-01";"T1";"3.32043067"
"2007-02";"T1";"3.20231528"
"2007-03";"T1";"2.98746791"
"2007-04";"T1";"2.85861016"
"2007-05";"T1";"2.69065931"
"2007-06";"T1";"2.52802897"
"2007-07";"T1";"2.5279783"
"2007-08";"T1";"2.55275668"
"2007-09";"T1";"2.52549539"
"2007-10";"T1";"2.58523715"
"2007-11";"T1";"2.65569594"
"2007-12";"T1";"2.76190351"
"2008-01";"T1";"2.8344905"
"2008-02";"T1";"2.74784215"
"2008-03";"T1";"2.62927072"
"2008-04";"T1";"2.55587298"
"2008-05";"T1";"2.41110437"
"2008-06";"T1";"2.31764069"
"2008-07";"T1";"2.33502103"
"2008-08";"T1";"2.38255095"
"2008-09";"T1";"2.43172769"
"2008-10";"T1";"2.54551065"
"2008-11";"T1";"2.72744685"
"2008-12";"T1";"3.00892731"
"2009-01";"T1";"3.25387359"
"2009-02";"T1";"3.35450729"
"2009-03";"T1";"3.41305826"
"2009-04";"T1";"3.46362847"
"2009-05";"T1";"3.42357261"
"2009-06";"T1";"3.55341845"
"2009-07";"T1";"3.6829096"
"2009-08";"T1";"3.82142028"
"2009-09";"T1";"3.91207169"
"2009-10";"T1";"4.00654879"
"2009-11";"T1";"4.15380032"
"2009-12";"T1";"4.37650178"
"2010-01";"T1";"4.06590577"
"2010-02";"T1";"4.00192093"
"2010-03";"T1";"3.84075594"
"2010-04";"T1";"3.66814029"
"2010-05";"T1";"3.49473814"
"2010-06";"T1";"3.34203968"
"2010-07";"T1";"3.29246647"
"2010-08";"T1";"3.30516628"
"2010-09";"T1";"3.23949276"
"2010-10";"T1";"3.22387824"
"2010-11";"T1";"3.27715267"
"2010-12";"T1";"3.4383408"
"2011-01";"T1";"3.44176443"
"2011-02";"T1";"3.31548343"
"2011-03";"T1";"3.12070673"
"2011-04";"T1";"2.85567625"
"2011-05";"T1";"2.65294193"
"2011-06";"T1";"2.55333284"
"2011-07";"T1";"2.52608261"
"2011-08";"T1";"2.58361345"
"2011-09";"T1";"2.57567896"
"2011-10";"T1";"2.66436944"
"2011-11";"T1";"2.80156904"
"2011-12";"T1";"3.022555"
"2012-01";"T1";"3.10710475"
"2012-02";"T1";"3.0802015"
"2012-03";"T1";"2.9237787"
"2012-04";"T1";"2.84896779"
"2012-05";"T1";"2.74954377"
"2012-06";"T1";"2.65719833"
"2012-07";"T1";"2.69018545"
"2012-08";"T1";"2.77182048"
